year,metric_id,field,tableau_sheet,expected_value
2008,admissions_per_1000,admissions_per_1000_member_years,"KPI Admissions per 1,000 member-years",244.7604424178738
2008,beneficiaries,beneficiaries,KPI Beneficiaries,116352.0
2008,claims,claims,KPI Claims,2025978.0
2008,ed_proxy_per_1000,ed_proxy_per_1000_member_years,"KPI ED proxy per 1,000 member-years",209.64288293913842
2008,paid_amount,payment_total,KPI Paid amount,483275670.0
2008,paid_per_admission,payment_per_admission,KPI Paid per admission,9826.436676566902
2008,paid_per_beneficiary,payment_per_beneficiary,KPI Paid per beneficiary,4153.565645627063
2008,paid_per_claim,payment_per_claim,KPI Paid per claim,238.53944613416334
2008,readmission_proxy,readmission_rate,KPI Readmission proxy rate,0.15103824291404044
2008,top5_payment_share,top_5pct_payment_share,KPI Top 5% payment share,0.4846640427812143
2009,admissions_per_1000,admissions_per_1000_member_years,"KPI Admissions per 1,000 member-years",232.34129378338946
2009,beneficiaries,beneficiaries,KPI Beneficiaries,114538.0
2009,claims,claims,KPI Claims,2210561.0
2009,ed_proxy_per_1000,ed_proxy_per_1000_member_years,"KPI ED proxy per 1,000 member-years",247.61131649096632
2009,paid_amount,payment_total,KPI Paid amount,504801500.0
2009,paid_per_admission,payment_per_admission,KPI Paid per admission,9932.859975718333
2009,paid_per_beneficiary,payment_per_beneficiary,KPI Paid per beneficiary,4407.284045469626
2009,paid_per_claim,payment_per_claim,KPI Paid per claim,228.35900027187668
2009,readmission_proxy,readmission_rate,KPI Readmission proxy rate,0.0753543593264144
2009,top5_payment_share,top_5pct_payment_share,KPI Top 5% payment share,0.3921243696779823
2010,admissions_per_1000,admissions_per_1000_member_years,"KPI Admissions per 1,000 member-years",128.21886056945186
2010,beneficiaries,beneficiaries,KPI Beneficiaries,112754.0
2010,claims,claims,KPI Claims,1350500.0
2010,ed_proxy_per_1000,ed_proxy_per_1000_member_years,"KPI ED proxy per 1,000 member-years",131.7243586622598
2010,paid_amount,payment_total,KPI Paid amount,286712060.0
2010,paid_per_admission,payment_per_admission,KPI Paid per admission,9927.118099648913
2010,paid_per_beneficiary,payment_per_beneficiary,KPI Paid per beneficiary,2542.8105433066676
2010,paid_per_claim,payment_per_claim,KPI Paid per claim,212.30067382450943
2010,readmission_proxy,readmission_rate,KPI Readmission proxy rate,0.042992325460099845
2010,top5_payment_share,top_5pct_payment_share,KPI Top 5% payment share,0.4308730508231848
